run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8370,small_world,inv_degree,8445372,100,300,0.03,3,0.45,0.1,50,0.03,0,0.765,0.3850000000000003,0.01999999999999999,0.0
8371,small_world,inv_degree,8446381,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7733333333333333,0.4533333333333331,0.09999999999999996,0.0
8372,small_world,inv_degree,8447390,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7666666666666667,0.4199999999999999,0.12333333333333334,0.0
8373,small_world,inv_degree,8448399,100,300,0.03,3,0.45,0.1,50,0.12,8,0.7000000000000002,0.33000000000000024,0.0,0.0
8374,small_world,inv_degree,8449408,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7533333333333334,0.3966666666666669,0.060000000000000095,0.0
8375,small_world,inv_degree,8450417,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7649999999999996,0.37499999999999944,0.13499999999999981,0.0
8376,small_world,inv_degree,8451426,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7600000000000001,0.39000000000000024,0.015000000000000003,0.0
8377,small_world,inv_degree,8452435,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7650000000000001,0.3550000000000003,0.12000000000000013,0.0
8378,small_world,inv_degree,8453444,100,300,0.03,3,0.45,0.1,50,0.03,0,0.81,0.6599999999999999,0.3500000000000002,0.0
8379,small_world,inv_degree,8454453,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8200000000000002,0.5550000000000003,0.1900000000000002,0.0
8380,small_world,inv_degree,8455462,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7650000000000003,0.4600000000000003,0.11500000000000005,0.0
8381,small_world,inv_degree,8456471,100,300,0.03,3,0.45,0.1,50,0.03,0,0.78,0.40000000000000024,0.055000000000000014,0.0
8382,small_world,inv_degree,8457480,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7800000000000001,0.41500000000000037,0.15500000000000022,0.0
8383,small_world,inv_degree,8458489,100,300,0.03,3,0.45,0.1,50,0.04,1,0.8300000000000001,0.5150000000000005,0.18500000000000033,0.0
8384,small_world,inv_degree,8459498,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7566666666666665,0.3333333333333334,0.05000000000000004,0.0
8385,small_world,inv_degree,8460507,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7900000000000001,0.4350000000000004,0.05000000000000011,0.0
8386,small_world,inv_degree,8461516,100,300,0.03,3,0.45,0.1,50,0.05,2,0.7700000000000002,0.5200000000000002,0.15000000000000016,0.0
8387,small_world,inv_degree,8462525,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7899999999999998,0.5066666666666666,0.12666666666666668,0.0
8388,small_world,inv_degree,8463534,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7533333333333333,0.35999999999999993,0.09666666666666664,0.0
