run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
235,random,uniform,237157,100,266,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8238853794390802
236,random,uniform,238166,100,245,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8287296063264139
237,random,uniform,239175,100,229,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8287584928056314
238,random,uniform,240184,100,232,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8470938304638187
239,random,uniform,241193,100,266,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7728779693884271
240,random,uniform,242202,100,256,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7679596686080308
241,random,uniform,243211,100,229,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7954378079682931
242,random,uniform,244220,100,226,0.03,3,0.45,0.1,50,1.5,0.05,1,0.799872032442301
243,random,uniform,245229,100,272,0.03,3,0.45,0.1,50,1.5,0.04,1,0.80426223172599
244,random,uniform,246238,100,238,0.03,3,0.45,0.1,50,1.5,0.12,3,0.672418128282613
245,random,uniform,247247,100,253,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8203981496498751
246,random,uniform,248256,100,248,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7627317771956811
247,random,uniform,249265,100,257,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8423475324082361
248,random,uniform,250274,100,266,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8228871648157239
249,random,uniform,251283,100,208,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7955592323249889
250,random,uniform,252292,100,242,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8223341673924053
251,random,uniform,253301,100,245,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8151338687186102
252,random,uniform,254310,100,266,0.03,3,0.45,0.1,50,1.5,0.08,3,0.6895156336170245
253,random,uniform,255319,100,273,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8046011203885546
